#SHEET_NAME,忆-第六回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Yi_6,chapter_bg_Y,chapter_title_Y6,Liang,265,,,,,,,,,,,
,*map_yi_6,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_6,,,,,,,,,,,,,,,
,SetChapterName,忆-第六回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,BgEvent,牵灯夜行1,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,TRUE
,AutoSave
,,,,,,,,,,默认1,,,,说起来，我从未在如此深夜归家。,說起來，我從未在如此深夜歸家。,"Now that I think of it, I’d never come home this late before.",そういえば、深夜に家に帰ることなどこれまでになかった。,"Если подумать, то я впервые возвращаюсь домой так поздно.",
,,,,,,,,,,默认2,,,,时近子时，长街早已陷入一片墨色，万籁俱寂，只余我俩一前一后的脚步声，在空旷的街巷中回荡。,時近子時，長街早已陷入一片墨色，萬籟俱寂，只有余我倆一前一後的腳步聲，在空曠的街巷中迴盪。,"Nearing the Hour of the Rat, the long street had dissolved into pitch-black silence, broken only by the hollow echoes of our footsteps—one trailing the other—through the empty alleyways.",既に子の刻も近い。長い通りは墨をこぼしたように暗く、ひっそりと静まり返っている。私たち二人の足音だけが、こつこつと開けた路地に反響した。,"Ближе к страже <ruby=23:00-01:00>Крысы</ruby> длинная улица растворилась во мраке, а всё погрузилось в тишину, которую нарушало лишь эхо наших шагов - моих и той, что шла позади.",
,,,,,,,,,,默认3,,,,我提着一盏灯，昏黄的光晕仅能照亮脚下方寸之地。,我提著一盞燈，昏黃的光暈僅能照亮腳下方寸之地。,"I carried a lantern, its dim yellow glow barely illuminating the patch of ground beneath my feet.",私が提げている微かな光では、足元のごくわずかな範囲しか照らすことができない。,Тусклый желтоватый свет фонаря в моих руках едва освещал землю под ногами.,
,,,,,,,,,,默认4,,,,它随着我的步伐轻轻晃动，像一只温顺的萤火虫，指引着前方的道路，使得我们不会摔倒。,它隨著我的步伐輕輕晃動，像一隻溫順的螢火蟲，指引著前方的道路，使得我們不會摔倒。,"It swayed gently with my steps, like a docile firefly, lighting the path ahead to keep us from stumbling.",それは私が歩くたびにおとなしい蛍のように軽く揺れ、私たちが転んでしまわないよう、進む先を示してくれている。,"Он мягко покачивался в такт моих шагов, словно послушный светлячок, освещающий путь впереди, чтобы мы не споткнулись.",
,,,,,,,,,,默认5,,,,身后那细碎却坚定的脚步声，无时无刻不在提醒着我——今夜，我方知宥并非是独自归家。,身後那細碎卻堅定的腳步聲，無時無刻不在提醒著我——今夜，我方知宥並非是獨自歸家。,"The faint yet relentless footsteps behind me never ceased their reminder——that tonight, Fang Zhiyou was not returning home alone.",背後で聞こえる小さな、それでいてはっきりとした足音が、ずっと私にこう告げている――今夜、方知宥は一人で帰宅しない、と。,"Мелкие, но уверенные шажки за моей спиной постоянно напоминали мне - этой ночью Фан Чжию идёт домой не один.",
,,,,,,,,,,默认6,,,,约莫一炷香前，在我即将离开二十四桥柳巷之际，撞见了一位蜷缩暗处、呜咽垂泪的女子。,約莫一炷香前，在我即將離開二十四橋柳巷之際，撞見了一位蜷縮暗處、嗚咽垂淚的女子。,"About an hour ago, as I neared the end of Willow Lane at Twenty-Four Bridges, I spotted a woman hunched in the shadows, weeping softly.",およそ一炷香前。二十四橋の柳巷を抜けようとしたところで、暗がりにうずくまって泣いている女と出会った。,"Примерно время горения одной палочки благовоний тому назад, собираясь уже покидать ""Ивовый переулок"", я наткнулся на свернувшуюся в калачик и горько плакавшую девушку.",
,,,,,,,,,,默认7,,,,我给了她一两银子，本意是劝她早些归去，她却以无处可归为由，一路默默相随，直至此地。,我給了她一兩銀子，本意是勸她早些歸去，她卻以無處可歸為由，一路默默相隨，直至此地。,"I gave her one tael of silver, hoping to persuade her to leave, but she silently followed me all the way here, claiming she had nowhere else to go.",さっさと帰らせてやるつもりで少し金をやったのだが、帰る場所がないという理由でついてきてしまい、現在に至る。,"Я дал ей таэль серебра с мыслью, чтобы она поскорее могла вернуться домой, но вместо этого, под предлогом того, что ей больше некуда идти, она стала молча следовать за мной всю дорогу.",
,Se,推门,,,,,,,,,,,,,,,,
,BgEventOff,CG名,,,,,1,,,,,,,,,,,
,Bg,方院外街道忆夜,,,,,,,,,,,,,,,,
,,,,,,,,,,默认8,,,,——吱呀,——吱呀,—Creak,――ギイ,*Скрип.*,
,,,,,,,,,,默认9,,,,我推开了方院的木门。,我推開了方院的木門。,I pushed open the wooden door of Fang's Courtyard.,方院の門を押し開けた。,Я распахнул деревянные ворота двора семьи Фан.,
,CharacterOff,,,,,,3,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,方院夜,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,FadeCircle,,Linear,,3,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,Ambience,室内沙沙,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,默认10,,,,方院不算轩敞，一庭三室，但于我一人而言，已是绰绰有余。,方院不算軒敞，一庭三室，但於我一人而言，已是綽綽有餘。,"Fang's Courtyard wasn’t particularly spacious—just a single courtyard with three rooms—but for me alone, it was more than enough.",庭が一つに家屋が三つ、そう広い屋敷ではない。だが一人暮らしの私には、十分すぎるほどのゆとりだ。,Двор был не особенно просторен - всего два флигеля и главный дом - но для одного меня этого было более чем достаточно.,
,,,,,,,,,,默认11,,,,此地与我缘分匪浅。曾几何时，我与雁儿姐便隔着一扇门，背靠背地倚坐于此。,此地與我緣分匪淺。曾幾何時，我與雁兒姐便隔著一扇門，背靠背地倚坐於此。我們一同背書，一同奏樂，分享彼此的悲喜，如此度過了一年多的光陰。後來，方家人察覺了我們的私會，再見她便難如登天。,"This place held a deep connection for me. Once, <ruby=Swan Goose>Sister Yan</ruby> and I sat back-to-back here, separated only by a door. We studied together, played music together, shared each other’s joys and sorrows—over a year passed like this. Later, the Fang Family discovered our secret meetings, and seeing her again became as difficult as climbing to the heavens.",この場所には深い縁がある。かつて雁姉と門一枚挟んで背中合わせに座っていたものだ。共に本を読み、曲を奏で、一年近く苦楽を共にする暮らしをした。その後は密会がばれ、再び会うことは難しくなった。,"Это место было связано со мной нитями судьбы. Когда-то мы с сестричкой Лебёдушкой сидели здесь спина к спине, разделённые лишь воротами. Больше года мы вместе учились, играли музыку, делились радостями и бедами. Затем в семье Фан прознали про наши тайные встречи, и снова повидаться с ней стало задачей крайне трудной.",
,,,,,,,,,,默认1111,,,,我们一同背书，一同奏乐，分享彼此的悲喜，如此度过了一年多的光阴。后来，方家人察觉了我们的私会，再见她便难如登天。,,,,
,,,,,,,,,,默认12,,,,再后来，伯父死了，她被伯母送走了，不知所踪。,再後來，伯父死了，她被伯母送走了，不知所蹤。,"Later, Uncle died, and Aunt sent her away—no one knows where she went.",後に伯父が死に、彼女は伯母にどこかにやられてしまい、行方知れずとなった。,"Ну а потом дядя умер, а тётя её выслала в неизвестном направлении.",,,
,,,,,,,,,,默认160,,,,有些客人性格恶劣，他们将柳巷的姑娘视作泄欲的工具，从未把她们当作“人”来看。,有些客人性格惡劣，他們將柳巷的姑娘視作洩慾的工具，從未把她們當做“人”來看。,"Some clients had vile dispositions—they saw Willow Lane's maidens as mere tools for gratification, never treating them as ""human"" beings.",劣悪な一部の客は、柳巷の娘を性欲のはけ口としか見ておらず、彼女たちを「人」扱いなどしない。,"Некоторые клиенты были отвратительными людьми, которые видели в тамошних девушках лишь инструмент для удовлетворения похоти, вовсе не считая их за людей.",,,
,,,,,,,,,,默认161,,,,世人大多都看不起在二十四桥的姑娘，毕竟她们是烟花之地的风尘女子，身若浮萍。,世人大多都看不起在二十四橋的姑娘，畢竟她們是煙火之地的風塵女子，身若浮萍。,"Most people looked down on the maidens of Twenty-Four Bridges—after all, they were women of the pleasure quarters, adrift like duckweed.",世のたいていの者達は二十四橋の娘たちを見下している。何しろ色町の娼婦であり、その存在は軽い。,"Большинство людей смотрели на девушек из района Двадцать четвёртого моста свысока - всё-таки они были падшими женщинами из весёлых кварталов, живущими как попало.",,,
,,,,,,,,,,默认162,,,,我虽说并没有太多的轻视，但也必定不想娶风月之地的女子为妻。,我雖說並沒有太多的輕視，但也必定不想娶風月之地的女子為妻。,"Though I don’t look down on them too much, I’d never marry a woman from the pleasure quarters.",私はそこまで彼女たちのことを見下しているつもりはないが、色町の女を妻にするかと言われれば話は別だ。,"Я со своей стороны хоть и не питал к ним особого презрения, тем не менее, определённо не стал бы выбирать себе в жёны девушку из этих мест.",,,
,,,,,,,,,,默认163,,,,而柳巷中的姑娘……如林翩翩一样的女子……她们是二十四桥诸多女子中的最底层。,而柳巷中的姑娘……如林翩翩一樣的女子……她們是二十四橋諸多女子中的最底層。,And the maidens of Willow Lane... Women like Lin Pianpian... They’re the lowest among the many women of Twenty-Four Bridges.,なおかつ柳巷の娘……林翩翩のような女となると……数ある二十四橋の女の中でも最底辺だ。,"Ну а девушки с ""Ивового переулка""... такие как Линь Пяньпянь... были самые падшими из девушек района Двадцать четвёртого моста.",,,
,,,,,,,,,,默认164,,,,她们无底线地出卖身体、出卖尊严，是最容易被歧视、最容易被粗暴对待的一类人。,她們無底線的出賣身體、出賣尊嚴，是最容易被歧視、最容易被粗暴對待的一類人。,"They sell their bodies and dignity without restraint—the most despised, the most abused.",体を売ることに抵抗もなく、尊厳を切り売りする。最も蔑まれ、最も粗雑に扱われる類の人間だ。,"Они без каких-либо ограничений продавали свои тела, продавали своё достоинство - и им было проще кого-либо наткнуться на презрение и жестокое обращение.",,,
,,,,,,,,,,默认165,,,,不过……就因为她们出身和工作，便不把这样的姑娘当人，对她们做出种种过分的恶行……,不過……就因為她們出身和工作，便不把這樣的姑娘當人，對她們做出種種過分的惡行……,"However... Just because of their origins and trade, people deny their humanity, subjecting them to every cruelty imaginable...",だが……彼女たちの身の上や仕事がゆえに、彼女たちを人間扱いせず、様々な非道を行う……,Но... Всего из-за их происхождения и работы не считать этих девушек за людей и подвергать их самым различным ужасным злодеяниям...,,,
,,,,,,,,,,默认166,,,,绝对不该如此。,我覺得絕對不該如此。,I refuse to accept this.,私は断じてそんな連中とは違う。,"Я считаю, что это непозволительно.",,,
,,,,,,,,,,默认167,,,,因轻贱他人而做出种种恶行的人，也确实是畜生不如。,那做出種種惡行的人，也確實是畜生不如。,Those who commit such atrocities are worse than beasts.,そのような悪行まで行うような奴らは、畜生にも劣る存在だ。,"Те, кто совершают подобные зверства - хуже скотины.",,,
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,方知宥,,,,,,,,默认168,,方知宥/13_方知宥_25,,[话说……柳巷的姑娘，最初是为何来站关的？］,[話說……柳巷的姑娘，最初是為何來站關的？］,"""Speaking of... the maidens of Willow Lane, what first brought them to stand at the pass?""",「ところで……柳巷の娘たちは、そもそもどうして立ちんぼをすることになったんだ？」,"""Кстати... Из-за чего девушки с 'Ивового переулка' вообще начинают так продавать себя?""",,,
,,,,,,,,,,默认169,,,,我用平静而带着一丝叹息的语气询问林翩翩。,我用平靜而帶著一絲嘆息的語氣詢問林翩翩。,I asked Lin Pianpian in a calm tone tinged with a sigh.,平静を保ちつつ、ため息まじりで林翩翩に尋ねる。,Спокойно спросил я у Линь Пяньпянь с лёгким вздохом в голосе.,,,
,,,,,,,,,,默认170,,,,我想要探究和解析，她们最初沦落风尘的原因。,我想要探究和解析，她們最初淪落風塵的原因。,I wanted to explore and understand the reasons they first fell into the world of pleasure.,彼女たちがここまで堕ちてきた理由を知りたかった。,"Мне хотелось понять и узнать причины того, как девушки попадают в подобное место.",,,
,BgEvent,林翩翩侧卧4,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认171,,林翩翩/13_林翩翩_042,,[各有各的缘由吧……有些是贱家出身，生来便是做这个的，娘做这个，娘的娘也做这个，顺其自然便做这个了。],[各有各的緣由吧……有些是賤家出身，生來便是做這個的，娘做這個，娘的娘也做這個，順其自然便做這個了。],"""Each has her own reasons... Some come from lowly families, born into this trade—their mothers did it, their grandmothers did it, so they followed naturally.""",「ま、いろいろじゃないかな……卑しい生まれだからそれしか道がない子もいる。お母さんも、そのお母さんもそうだったから、自分も流れでそうやってるような」,"""У каждого свои причины... Кто-то родился в бедной семье, и им с рождения уже было уготовано подобное занятие. Их матери этим занимались, матери матерей этим занимались, так что неудивительно, что они тоже продолжат.""",,,
,,林翩翩,,,,,,,,默认172,,林翩翩/13_林翩翩_043,,[有些呢……则是被家里逼的，爹娘想要给家里的男丁娶媳妇，便逼女儿出来站关。］,[有些呢……則是被家裡逼的，爹娘想要給家裡的男丁娶媳婦，便逼女兒出來站關。］,"""As for others... they were forced by their families; fathers and mothers wanted to arrange marriages for their sons, so they drove their daughters to stand at the pass.""",「あとは……家族から迫られたり。稼いだ金で家の男に嫁を取らせるために、娘に立ちんぼをさせるの」,"""Некоторых... заставляют их семьи. Родители желают подыскать сыну невесту, ну и отправляют дочь зарабатывать собой на улице.""",,,
,,林翩翩,,,,,,,,默认173,,林翩翩/13_林翩翩_044,,[还有些啊……本是花街青楼的出身，后来年老色衰，便被店家赶了出来，为求糊口，别无他法，便来柳巷站了……］,[還有些啊……本是花街青樓的出身，後來年老色衰，便被店家趕了出來，為求餬口，別無他法，便來柳巷站了……］,"""There's still some... She’d once worked in the pleasure houses or Flower Street, but when age robbed her of beauty, she was thrown out. With no way to feed herself, she ended up standing in Willow Lane...""",「それから……もともと花街や青楼でやってたけど、歳で色気がなくなって店から追い出されて、食べていく他の方法もないから柳巷にいたり……」,"""Ну и бывают ещё такие... Когда-то работали в 'зелёном тереме' или на 'Цветочной улице', но годы их не пощадили, их оттуда выгнали, и ради того, чтобы не умереть с голоду, им остаётся лишь податься на 'Ивовый переулок'.""",,,
,,方知宥,,,,,,,,默认174,,,,[……],[……],"""...""",「……」,"""...""",,,
,BgEvent,林翩翩侧卧2,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认175,,林翩翩/13_林翩翩_045,,[总而言之，所有人……之所以会沦落如此境地，大概都是为了一件事。],[總而言之，所有人……之所以會淪落如此境地，大概都是為了一件事。],"""In the end, everyone... Their fall to such wretchedness likely came down to one thing.""",「とにかく、みんな……ここまで堕ちてくるのは、きっとあることのため」,"""Но в целом, если уж на то пошло, все мы... наверное, делаем это ради одной-единственной цели.""",,,
,,方知宥,,,,,,,,默认176,,方知宥/13_方知宥_26,,[何事？],[何事？],"""What is it?""",「あることとは？」,"""Какой же?""",,,
,StopAmbience,,,,,,,,,,,,,,,,,
,BgEvent,林翩翩侧卧1,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认177,,林翩翩/13_林翩翩_046,,[活着。］,[活著。］,"""Living.""",「生きること」,"""Чтобы выжить.""",,,
,Bgm,那年翩翩,,,,3,3,,,,,,,,,,,
,CharacterOff,,,,,,,,,,,,,,,,,
,,方知宥,,,,,,,,默认178,,,,[……］,[……］,"""...""",「……」,"""...""",,,
,Ambience,室内沙沙,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,默认179,,,,林翩翩淡淡地说了一句。,林翩翩淡淡地說了一句。,Lin Pianpian murmured.,淡々と、林翩翩はそう言った。,Ровным тоном проговорила Линь Пяньпянь.,,,
,,,,,,,,,,默认180,,,,简单两个字，却好似一把小锤，微微将我的心敲得震颤了一下。,簡單兩個字，卻好像一把小錘，微微將我的心敲得震顫了一下。,"Two simple words, yet they struck like a tiny hammer, sending a tremor through my heart.",単純な一言だったのに、まるで槌で殴られたように私の心がじんと震えた。,"Эти два слова, словно маленький молоток, стукнули по моему сердцу так, что оно отозвалось мелкой дрожью.",,,
,,,,,,,,,,默认181,,,,是啊。,是啊。,Yeah.,そうだ。,Да.,,,
,,,,,,,,,,默认182,,,,——活着。,——活著。,——Living.,――生きる。,Чтобы выжить.,,,
,,,,,,,,,,默认183,,,,如此纯粹的理由。,如此純粹的理由。,A reason so pure.,あまりにも純粋な理由。,Такая простая причина.,,,
,,,,,,,,,,默认184,,,,世间大多数人，“活着”便是每日劳碌的最大缘由，谈不上什么志向、梦想或希望。,世間大多數人，“活著”便是每日勞碌的最大緣由，談不上什麼志向、夢想或希望。,"For most in this world, ""living"" is the only reason for their daily grind—no ambitions, dreams, or hopes to speak of.",世の中の大多数の者にとって、「生きる」ことが日々の労苦の最大の理由だ。志や夢、希望とは程遠い。,"Для большинства людей в мире выживание - единственная причина, почему они продолжают каждый день трудиться в поте лица своего. Ни о каких амбициях, мечтах и надеждах нет и речи.",,,
,BgEvent,林翩翩侧卧3,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认185,,林翩翩/13_林翩翩_047,,[头回接客时，客人将我推到床上，我不知道做些什么，只是很害怕，望着穹顶，像是死了一样。］,[頭回接客時，客人將我推到床上，我不知道做些什麼，只是很害怕，望著穹頂，像是死了一樣。］,"""The first time I entertained a client, he shoved me onto the bed. I didn’t know what to do—just lay there terrified, staring at the ceiling like I was already dead.""",「初めてお客さんを取った時、押し倒された。何をすればいいのかもわからず、ただ怖くて、死んだように天井を見てたっけ」,"""Когда я в первый раз принимала клиента, он толкнул меня на кровать... Я не знала что делать, просто лежала в ужасе и смотрела в потолок, будто померла.""",,,
,BgEvent,林翩翩侧卧4,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认186,,林翩翩/13_林翩翩_048,,[那时，我便想：往后我这一生，不会爱上别人，也不会有人爱我……从此，我就只为了活着——多活一天，便算赚了一天。］,[那時，我便想往後我這一生，不會愛上別人，也不會有人愛我……從此，我就只為了活著——多活一天，便算賺了一天。］,"""Right then, I thought I would never love another, nor be loved... From that moment on, I simply existed—every day I drew breath was a day stolen from fate.""",「その時、思ったの。これからの一生、誰かを愛すこともなければ、愛されることもないんだって……これからは、ただ生きるため――一日でも多く生きられれば、儲けものだと思うことにした」,"""Тогда я подумала, что в своей дальнейшей жизни я никогда никого не полюблю, и меня никто не полюбит... И с тех пор просто живу, чтобы выжить - лишний денёк прожила, лишний денёк заработала.""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,,方知宥,,,,,,,,默认187,,,,[……］,[……］,"""...""",「……」,"""...""",,,
,,,,,,,,,,默认188,,,,我听林翩翩说着，心里因她的话而有些悲伤。,我聽林翩翩說著，心裡因她的話而有些悲傷。,"As Lin Pianpian spoke, her words twisted something sorrowful inside me.",翩翩の話を聞きながら、悲しい気持ちになった。,От слов Линь Пяньпянь моё сердце охватила печаль.,,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认189,,,,每个人的人生各有不同。,每個人的人生各有不同。,Every life takes its own path.,人にはそれぞれの人生がある。,У каждого человека своя жизнь.,,,
,,,,,,,,,,默认190,,,,她与我相比，确实是吃了很多苦，且还要继续吃很多苦。,她與我相比，確實是吃了很多苦，且還要繼續吃很多苦。,"Compared to mine, hers had been far harsher—and the suffering wasn’t over.",彼女は私よりも多くの苦労を背負ってきた。今でもそれは続いている。,И по сравнению со мной она испытала куда больше горестей - и в дальнейшем будет их испытывать.,,,
,,,,,,,,,,默认191,,,,往后的人生，也一眼望不到头。,往後的人生，也一眼望不到頭。,"The rest of her life stretched endlessly ahead, with no end in sight.",今後の人生も、先が見通せない。,Дальнейшая её жизнь была бескрайней и беспросветной.,,,
,,,,,,,,,,默认192,,,,……,……,...,……,...,,,
,,,,,,,,,,默认193,,,,或许，我的出身并不算差。,或許，我的出身並不算差。,Perhaps my circumstances weren't so unfortunate after all.,私の身の上など、大したことないのかもしれない。,"Может быть, моё прошлое было не таким уж тяжёлым.",,,
